"","concept_id","found_from","concept_name","domain_id","vocabulary_id","standard_concept"
"1",705076,"From initial search","Post-acute COVID-19","Condition","OMOP Extension","S"
"2",756031,"From initial search","Bronchitis caused by COVID-19","Condition","OMOP Extension","S"
"3",756039,"From initial search","Respiratory infection caused by COVID-19","Condition","OMOP Extension","S"
"4",1340294,"From initial search","Exacerbation of COVID-19","Condition","OMOP Extension","S"
"5",37311061,"From initial search","COVID-19","Condition","SNOMED","S"
